,,,,,,,,
,,,,,,,,
DYJetsToLL,/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext4-v1/MINIAODSIM,121212419,0,0,0.0,[/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/ferrif-RunIIFall15DR76-1_3_0-25ns_ext1-1_3_1-v0-RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext4-v1-9dd966127498bcac8c2a422833c3836e/USER],76X_mcRun2_asymptotic_v12,FALSE,amcatnlo
DYJetsToLL,/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_HCALDebug_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,29193937,0,0,0.0,[None],76X_mcRun2_asymptotic_v12,FALSE,amcatnlo
DYJetsToLL,/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,9004328,0,0,0.0,[/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/ahart-RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-DisappTrks-v1-e208240138250dd45f048c061a416e72/USER |  /DYJetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/ferrif-RunIIFall15DR76-1_3_0-25ns_ext1-1_3_1-v0-RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1-9dd966127498bcac8c2a422833c3836e/USER],76X_mcRun2_asymptotic_v12,FALSE,madgraph
,,,,,,,,
WZ,/WZ_TuneCUETP8M1_13TeV-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,1000000,1,47.13,0.04713,[None],76X_mcRun2_asymptotic_v12,FALSE,pythia8
,,,,,,,,
st_tWchan,/ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,1000000,1,35.6,0.0356,[None],76X_mcRun2_asymptotic_v12,FALSE,Powheg
,,,,,,,,
ttHbb,/ttHTobb_M125_13TeV_powheg_pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,3772012,1,0.2934,7.77834216858e-05,[/ttHTobb_M125_13TeV_powheg_pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER],76X_mcRun2_asymptotic_v12,FALSE,PowhegBoxV2
,,,,,,,,
WJets,/WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,10205377,0,0,0.0,[/WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/ahart-RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-DisappTrks-v1-e208240138250dd45f048c061a416e72/USER],76X_mcRun2_asymptotic_v12,FALSE,MG_aMCatNLO MLM
WJets,/WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,246239,0,0,0.0,[/WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/ahart-RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-DisappTrks-v1-e208240138250dd45f048c061a416e72/USER],76X_mcRun2_asymptotic_v12,FALSE,MG_aMCatNLO MLM
WJets,/WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,4949568,0,0,0.0,[/WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/ahart-RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-DisappTrks-v1-e208240138250dd45f048c061a416e72/USER],76X_mcRun2_asymptotic_v12,FALSE,MG_aMCatNLO MLM
WJets,/WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,251982,0,0,0.0,[/WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/ahart-RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-DisappTrks-v1-e208240138250dd45f048c061a416e72/USER],76X_mcRun2_asymptotic_v12,FALSE,MG_aMCatNLO MLM
WJets,/WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,1943664,0,0,0.0,[/WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/ahart-RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-DisappTrks-v1-e208240138250dd45f048c061a416e72/USER],76X_mcRun2_asymptotic_v12,FALSE,MG_aMCatNLO MLM
WJets,/WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,3767766,0,0,0.0,[/WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/ahart-RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-DisappTrks-v1-e208240138250dd45f048c061a416e72/USER],76X_mcRun2_asymptotic_v12,FALSE,MG_aMCatNLO MLM
WJets,/WJetsToLNu_HT-600ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,1041358,0,0,0.0,[/WJetsToLNu_HT-600ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/ahart-RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-DisappTrks-v1-e208240138250dd45f048c061a416e72/USER],76X_mcRun2_asymptotic_v12,FALSE,MG_aMCatNLO MLM
WJets,/WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,1568277,0,0,0.0,[/WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/ahart-RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-DisappTrks-v1-e208240138250dd45f048c061a416e72/USER],76X_mcRun2_asymptotic_v12,FALSE,MG_aMCatNLO MLM
WJets,/WJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,24156124,0,0,0.0,[None],76X_mcRun2_asymptotic_v12,FALSE,amcatnlo
,,,,,,,,
ttbar,/TT_TuneCUETP8M1_13TeV-powheg-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext3-v1/MINIAODSIM,97994442,1,831.76,0.0084878283199,[/TT_TuneCUETP8M1_13TeV-powheg-pythia8/ahart-RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-DisappTrks-v1-e208240138250dd45f048c061a416e72/USER |  /TT_TuneCUETP8M1_13TeV-powheg-pythia8/jbrandst-TT_TuneCUETP8M1_Fall2015_mt_160208-f501ce246bdf6b2bc4e4d7be0312f2fa/USER |  /TT_TuneCUETP8M1_13TeV-powheg-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER |  /TT_TuneCUETP8M1_13TeV-powheg-pythia8/tstreble-TTJets_08_02_16-3b06244a76df484609596a9098883fce/USER],76X_mcRun2_asymptotic_v12,FALSE,powhegv2
,,,,,,,,
stbar_tchan,/ST_t-channel_antitop_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,1630900,1,27.0,0.0165552762278,[None],76X_mcRun2_asymptotic_v12,FALSE,Powheg Pythia8
